,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Barbell Shrugs,,2026-01-08,2.0,25.0,2.0,15.0,750.0
1,Barbell Shrugs,,2026-01-15,2.0,65.0,2.0,8.0,1040.0
2,Barbell Shrugs,,2026-01-22,2.0,65.0,2.0,10.0,1300.0
3,Barbell Shrugs,,2026-01-29,2.0,65.0,2.0,12.0,1560.0
4,Barbell Shrugs,,2026-02-05,2.0,65.0,2.0,15.0,1950.0
5,Barbell Shrugs,,2026-02-12,2.0,85.0,2.0,8.0,1360.0
6,Barbell Shrugs,,2026-02-19,2.0,85.0,2.0,10.0,1700.0
7,Barbell Shrugs,,2026-02-26,2.0,85.0,2.0,12.0,2040.0
8,Barbell Shrugs,,2026-03-05,2.0,85.0,2.0,15.0,2550.0
9,Barbell Shrugs,,2026-03-12,2.0,105.0,2.0,8.0,1680.0
10,Barbell Shrugs,,2026-03-19,2.0,105.0,2.0,10.0,2100.0
11,Barbell Shrugs,,2026-03-26,2.0,105.0,2.0,12.0,2520.0
12,Barbell Shrugs,,2026-04-02,2.0,105.0,2.0,15.0,3150.0
13,Barbell Shrugs,,2026-04-09,2.0,115.0,2.0,8.0,1840.0
14,Barbell Shrugs,,2026-04-16,2.0,115.0,2.0,10.0,2300.0
15,Barbell Shrugs,,2026-04-23,2.0,115.0,2.0,12.0,2760.0
