,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Bench Press,,2026-01-09,1.0,65.0,2.0,10.0,1300.0
1,Bench Press,,2026-01-16,2.0,65.0,3.0,8.0,1560.0
2,Bench Press,,2026-01-23,1.0,70.0,2.0,10.0,1400.0
3,Bench Press,,2026-01-30,2.0,70.0,3.0,8.0,1680.0
4,Bench Press,,2026-02-06,1.0,75.0,2.0,10.0,1500.0
5,Bench Press,,2026-02-13,2.0,75.0,3.0,8.0,1800.0
6,Bench Press,,2026-02-20,1.0,80.0,2.0,10.0,1600.0
7,Bench Press,,2026-02-27,2.0,80.0,3.0,8.0,1920.0
8,Bench Press,,2026-03-06,1.0,85.0,2.0,10.0,1700.0
9,Bench Press,,2026-03-13,2.0,85.0,3.0,8.0,2040.0
10,Bench Press,,2026-03-20,1.0,90.0,2.0,10.0,1800.0
11,Bench Press,,2026-03-27,2.0,90.0,3.0,8.0,2160.0
12,Bench Press,,2026-04-03,1.0,95.0,2.0,10.0,1900.0
13,Bench Press,,2026-04-10,2.0,95.0,3.0,8.0,2280.0
14,Bench Press,,2026-04-17,1.0,105.0,2.0,10.0,2100.0
15,Bench Press,,2026-04-24,2.0,105.0,3.0,8.0,2520.0
