,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Bent Over Lateral Raises,Rear and Side Delts (Weight in each hand),2026-01-05,2.0,5.0,2.0,15.0,150.0
1,Bent Over Lateral Raises,,2026-01-12,2.0,5.0,2.0,16.0,160.0
2,Bent Over Lateral Raises,,2026-01-19,2.0,5.0,2.0,17.0,170.0
3,Bent Over Lateral Raises,,2026-01-26,2.0,5.0,2.0,18.0,180.0
4,Bent Over Lateral Raises,,2026-02-02,2.0,5.0,2.0,20.0,200.0
5,Bent Over Lateral Raises,,2026-02-09,2.0,10.0,2.0,10.0,200.0
6,Bent Over Lateral Raises,,2026-02-16,2.0,10.0,2.0,11.0,220.0
7,Bent Over Lateral Raises,,2026-02-23,2.0,10.0,2.0,12.0,240.0
8,Bent Over Lateral Raises,,2026-03-02,2.0,10.0,2.0,13.0,260.0
9,Bent Over Lateral Raises,,2026-03-09,2.0,10.0,2.0,14.0,280.0
10,Bent Over Lateral Raises,,2026-03-16,2.0,10.0,2.0,15.0,300.0
11,Bent Over Lateral Raises,,2026-03-23,2.0,10.0,2.0,16.0,320.0
12,Bent Over Lateral Raises,,2026-03-30,2.0,10.0,2.0,17.0,340.0
13,Bent Over Lateral Raises,,2026-04-06,2.0,10.0,2.0,18.0,360.0
14,Bent Over Lateral Raises,,2026-04-13,2.0,10.0,2.0,19.0,380.0
15,Bent Over Lateral Raises,,2026-04-20,2.0,10.0,2.0,20.0,400.0
