,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Bent-Over Barbell Rows,"With the Long Barbell bend at a 60 degree angle at the hips, then relax your arms such that they dangle beneath you while holding the barbell. Pull the Barbell into the cavity beneath your ribs. Keep your back flattened.",2026-01-04,2,45,3,8,1080
1,Bent-Over Barbell Rows,,2026-01-11,2,45,3,10,1350
2,Bent-Over Barbell Rows,,2026-01-18,2,45,3,12,1620
3,Bent-Over Barbell Rows,,2026-01-25,2,55,3,8,1320
4,Bent-Over Barbell Rows,,2026-02-01,2,55,3,10,1650
5,Bent-Over Barbell Rows,,2026-02-08,2,55,3,12,1980
6,Bent-Over Barbell Rows,,2026-02-15,2,65,3,8,1560
7,Bent-Over Barbell Rows,,2026-02-22,2,65,3,10,1950
8,Bent-Over Barbell Rows,,2026-03-01,2,65,3,12,2340
9,Bent-Over Barbell Rows,,2026-03-08,2,75,3,8,1800
10,Bent-Over Barbell Rows,,2026-03-15,2,75,3,10,2250
11,Bent-Over Barbell Rows,,2026-03-22,2,75,3,12,2700
12,Bent-Over Barbell Rows,,2026-03-29,2,85,3,8,2040
13,Bent-Over Barbell Rows,,2026-04-05,2,85,3,10,2550
14,Bent-Over Barbell Rows,,2026-04-12,2,85,3,12,3060
15,Bent-Over Barbell Rows,,2026-04-19,2,95,3,8,2280
