,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Cable Face Pulls,,2026-01-08,2.0,25.0,2.0,15.0,750.0
1,Cable Face Pulls,,2026-01-15,2.0,25.0,2.0,17.0,850.0
2,Cable Face Pulls,,2026-01-22,2.0,25.0,2.0,20.0,1000.0
3,Cable Face Pulls,,2026-01-29,2.0,25.0,2.0,25.0,1250.0
4,Cable Face Pulls,,2026-02-05,2.0,30.0,2.0,15.0,900.0
5,Cable Face Pulls,,2026-02-12,2.0,30.0,2.0,17.0,1020.0
6,Cable Face Pulls,,2026-02-19,2.0,30.0,2.0,20.0,1200.0
7,Cable Face Pulls,,2026-02-26,2.0,30.0,2.0,25.0,1500.0
8,Cable Face Pulls,,2026-03-05,2.0,35.0,2.0,15.0,1050.0
9,Cable Face Pulls,,2026-03-12,2.0,35.0,2.0,17.0,1190.0
10,Cable Face Pulls,,2026-03-19,2.0,35.0,2.0,20.0,1400.0
11,Cable Face Pulls,,2026-03-26,2.0,35.0,2.0,25.0,1750.0
12,Cable Face Pulls,,2026-04-02,2.0,40.0,2.0,15.0,1200.0
13,Cable Face Pulls,,2026-04-09,2.0,40.0,2.0,17.0,1360.0
14,Cable Face Pulls,,2026-04-16,2.0,40.0,2.0,20.0,1600.0
15,Cable Face Pulls,,2026-04-23,2.0,40.0,2.0,25.0,2000.0
