,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Deadlift,,2026-01-08,2.0,115.0,3.0,8.0,2760.0
1,Deadlift,,2026-01-15,2.0,115.0,3.0,10.0,3450.0
2,Deadlift,,2026-01-22,2.0,115.0,3.0,12.0,4140.0
3,Deadlift,,2026-01-29,2.0,125.0,3.0,8.0,3000.0
4,Deadlift,,2026-02-05,2.0,125.0,3.0,10.0,3750.0
5,Deadlift,,2026-02-12,2.0,125.0,3.0,12.0,4500.0
6,Deadlift,,2026-02-19,2.0,135.0,3.0,8.0,3240.0
7,Deadlift,,2026-02-26,2.0,135.0,3.0,10.0,4050.0
8,Deadlift,,2026-03-05,2.0,135.0,3.0,12.0,4860.0
9,Deadlift,,2026-03-12,2.0,145.0,3.0,8.0,3480.0
10,Deadlift,,2026-03-19,2.0,145.0,3.0,10.0,4350.0
11,Deadlift,,2026-03-26,2.0,145.0,3.0,12.0,5220.0
12,Deadlift,,2026-04-02,2.0,155.0,3.0,8.0,3720.0
13,Deadlift,,2026-04-09,2.0,155.0,3.0,10.0,4650.0
14,Deadlift,,2026-04-16,2.0,155.0,3.0,12.0,5580.0
15,Deadlift,,2026-04-23,2.0,165.0,3.0,8.0,3960.0
