,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Double Arm Cable Curls,,2026-01-04,2.0,35.0,2.0,10.0,700.0
1,Double Arm Cable Curls,,2026-01-11,2.0,35.0,2.0,12.0,840.0
2,Double Arm Cable Curls,,2026-01-18,2.0,35.0,2.0,15.0,1050.0
3,Double Arm Cable Curls,,2026-01-25,2.0,40.0,2.0,10.0,800.0
4,Double Arm Cable Curls,,2026-02-01,2.0,40.0,2.0,12.0,960.0
5,Double Arm Cable Curls,,2026-02-08,2.0,40.0,2.0,15.0,1200.0
6,Double Arm Cable Curls,,2026-02-15,2.0,45.0,2.0,10.0,900.0
7,Double Arm Cable Curls,,2026-02-22,2.0,45.0,2.0,12.0,1080.0
8,Double Arm Cable Curls,,2026-03-01,2.0,45.0,2.0,15.0,1350.0
9,Double Arm Cable Curls,,2026-03-08,2.0,50.0,2.0,10.0,1000.0
10,Double Arm Cable Curls,,2026-03-15,2.0,50.0,2.0,12.0,1200.0
11,Double Arm Cable Curls,,2026-03-22,2.0,50.0,2.0,15.0,1500.0
12,Double Arm Cable Curls,,2026-03-29,2.0,55.0,2.0,10.0,1100.0
13,Double Arm Cable Curls,,2026-04-05,2.0,55.0,2.0,12.0,1320.0
14,Double Arm Cable Curls,,2026-04-12,2.0,55.0,2.0,15.0,1650.0
15,Double Arm Cable Curls,,2026-04-19,2.0,60.0,2.0,10.0,1200.0
