,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,EZ-Bar Curls,,2026-01-08,2.0,10.0,4.0,12.0,480.0
1,EZ-Bar Curls,,2026-01-15,2.0,10.0,4.0,13.0,520.0
2,EZ-Bar Curls,,2026-01-22,2.0,10.0,4.0,14.0,560.0
3,EZ-Bar Curls,,2026-01-29,2.0,10.0,4.0,15.0,600.0
4,EZ-Bar Curls,,2026-02-05,2.0,15.0,4.0,12.0,720.0
5,EZ-Bar Curls,,2026-02-12,2.0,15.0,4.0,13.0,780.0
6,EZ-Bar Curls,,2026-02-19,2.0,15.0,4.0,14.0,840.0
7,EZ-Bar Curls,,2026-02-26,2.0,15.0,4.0,15.0,900.0
8,EZ-Bar Curls,,2026-03-05,2.0,20.0,4.0,12.0,960.0
9,EZ-Bar Curls,,2026-03-12,2.0,20.0,4.0,13.0,1040.0
10,EZ-Bar Curls,,2026-03-19,2.0,20.0,4.0,14.0,1120.0
11,EZ-Bar Curls,,2026-03-26,2.0,20.0,4.0,15.0,1200.0
12,EZ-Bar Curls,,2026-04-02,2.0,25.0,4.0,12.0,1200.0
13,EZ-Bar Curls,,2026-04-09,2.0,25.0,4.0,13.0,1300.0
14,EZ-Bar Curls,,2026-04-16,2.0,25.0,4.0,14.0,1400.0
15,EZ-Bar Curls,,2026-04-23,2.0,25.0,4.0,15.0,1500.0
