,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Glute Press,Your body should look like a table top at the top range of motion. Completely parallel to the ground and SQUEEZE your bottom at the top for ~ 1 second,2026-01-03,2,65,3,10,1950
1,Glute Press,,2026-01-10,2,65,3,12,2340
2,Glute Press,,2026-01-17,2,65,3,15,2925
3,Glute Press,,2026-01-24,2,75,3,10,2250
4,Glute Press,,2026-01-31,2,75,3,12,2700
5,Glute Press,,2026-02-07,2,75,3,15,3375
6,Glute Press,,2026-02-14,2,85,3,10,2550
7,Glute Press,,2026-02-21,2,85,3,12,3060
8,Glute Press,,2026-02-28,2,85,3,15,3825
9,Glute Press,,2026-03-07,2,95,3,10,2850
10,Glute Press,,2026-03-14,2,95,3,12,3420
11,Glute Press,,2026-03-21,2,95,3,15,4275
12,Glute Press,,2026-03-28,2,105,3,10,3150
13,Glute Press,,2026-04-04,2,105,3,12,3780
14,Glute Press,,2026-04-11,2,105,3,15,4725
15,Glute Press,,2026-04-18,2,115,3,10,3450
