,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Push-Ups,2 Sets to Failure (2x Begining and End),2026-01-05,2,1,4,20,80
1,Push-Ups,,2026-01-12,2,1,4,20,80
2,Push-Ups,,2026-01-19,2,1,4,20,80
3,Push-Ups,,2026-01-26,2,1,4,20,80
4,Push-Ups,,2026-02-02,2,1,4,20,80
5,Push-Ups,,2026-02-09,2,1,4,20,80
6,Push-Ups,,2026-02-16,2,1,4,20,80
7,Push-Ups,,2026-02-23,2,1,4,20,80
8,Push-Ups,,2026-03-02,2,1,4,20,80
9,Push-Ups,,2026-03-09,2,1,4,20,80
10,Push-Ups,,2026-03-16,2,1,4,20,80
11,Push-Ups,,2026-03-23,2,1,4,20,80
12,Push-Ups,,2026-03-30,2,1,4,20,80
13,Push-Ups,,2026-04-06,2,1,4,20,80
14,Push-Ups,,2026-04-13,2,1,4,20,80
15,Push-Ups,,2026-04-20,2,1,4,20,80
