,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Skull Crushers EZ Bar,"Build up to your working set, ",2026-01-06,2.0,35.0,3.0,8.0,840.0
1,Skull Crushers EZ Bar,,2026-01-13,2.0,35.0,3.0,10.0,1050.0
2,Skull Crushers EZ Bar,,2026-01-20,2.0,35.0,3.0,12.0,1260.0
3,Skull Crushers EZ Bar,,2026-01-27,2.0,35.0,3.0,14.0,1470.0
4,Skull Crushers EZ Bar,,2026-02-03,2.0,40.0,3.0,8.0,960.0
5,Skull Crushers EZ Bar,,2026-02-10,2.0,40.0,3.0,10.0,1200.0
6,Skull Crushers EZ Bar,,2026-02-17,2.0,40.0,3.0,12.0,1440.0
7,Skull Crushers EZ Bar,,2026-02-24,2.0,40.0,3.0,14.0,1680.0
8,Skull Crushers EZ Bar,,2026-03-03,2.0,45.0,3.0,8.0,1080.0
9,Skull Crushers EZ Bar,,2026-03-10,2.0,45.0,3.0,10.0,1350.0
10,Skull Crushers EZ Bar,,2026-03-17,2.0,45.0,3.0,12.0,1620.0
11,Skull Crushers EZ Bar,,2026-03-24,2.0,45.0,3.0,14.0,1890.0
12,Skull Crushers EZ Bar,,2026-03-31,2.0,50.0,3.0,8.0,1200.0
13,Skull Crushers EZ Bar,,2026-04-07,2.0,50.0,3.0,10.0,1500.0
14,Skull Crushers EZ Bar,,2026-04-14,2.0,50.0,3.0,12.0,1800.0
15,Skull Crushers EZ Bar,,2026-04-21,2.0,50.0,3.0,14.0,2100.0
