Unnamed: 0,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Squats,"Build up to your working set, ",2026-01-06,2.0,95.0,3.0,8.0,2280.0
1,Squats,,2026-01-13,2.0,95.0,3.0,10.0,2850.0
2,Squats,,2026-01-20,2.0,95.0,3.0,12.0,3420.0
3,Squats,,2026-01-27,2.0,105.0,3.0,8.0,2520.0
4,Squats,,2026-02-03,2.0,105.0,3.0,10.0,3150.0
5,Squats,,2026-02-10,2.0,105.0,3.0,12.0,3780.0
6,Squats,,2026-02-17,2.0,115.0,3.0,8.0,2760.0
7,Squats,,2026-02-24,2.0,115.0,3.0,10.0,3450.0
8,Squats,,2026-03-03,2.0,115.0,3.0,12.0,4140.0
9,Squats,,2026-03-10,2.0,125.0,3.0,8.0,3000.0
10,Squats,,2026-03-17,2.0,125.0,3.0,10.0,3750.0
11,Squats,,2026-03-24,2.0,125.0,3.0,12.0,4500.0
12,Squats,,2026-03-31,2.0,135.0,3.0,8.0,3240.0
13,Squats,,2026-04-07,2.0,135.0,3.0,10.0,4050.0
14,Squats,,2026-04-14,2.0,135.0,3.0,12.0,4860.0
15,Squats,,2026-04-21,2.0,145.0,3.0,8.0,3480.0
