,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Tricep Kickback,"Get the back of your arm parallel to the floor, and sqeeze at the top. Make sure your arm doesn't go above parallel.",2026-01-03,1.0,10.0,3.0,10.0,300.0
1,Tricep Kickback,,2026-01-10,1.0,10.0,3.0,12.0,360.0
2,Tricep Kickback,,2026-01-17,1.0,10.0,3.0,14.0,420.0
3,Tricep Kickback,,2026-01-24,1.0,10.0,3.0,16.0,480.0
4,Tricep Kickback,,2026-01-31,1.0,10.0,3.0,20.0,600.0
5,Tricep Kickback,,2026-02-07,1.0,15.0,3.0,10.0,450.0
6,Tricep Kickback,,2026-02-14,1.0,15.0,3.0,12.0,540.0
7,Tricep Kickback,,2026-02-21,1.0,15.0,3.0,14.0,630.0
8,Tricep Kickback,,2026-02-28,1.0,15.0,3.0,16.0,720.0
9,Tricep Kickback,,2026-03-07,1.0,15.0,3.0,20.0,900.0
10,Tricep Kickback,,2026-03-14,1.0,20.0,3.0,10.0,600.0
11,Tricep Kickback,,2026-03-21,1.0,20.0,3.0,12.0,720.0
12,Tricep Kickback,,2026-03-28,1.0,20.0,3.0,14.0,840.0
13,Tricep Kickback,,2026-04-04,1.0,20.0,3.0,16.0,960.0
14,Tricep Kickback,,2026-04-11,1.0,20.0,3.0,20.0,1200.0
15,Tricep Kickback,,2026-04-18,1.0,25.0,3.0,10.0,750.0
