Unnamed: 0,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Tricep Overhead Cable,"Double donkey dick, put hands behind head, Bent elbow, push up and infront of face",2026-01-06,2,15,2,15,450
1,Tricep Overhead Cable,Pulley Uptop,2026-01-13,2,15,2,15,450
2,Tricep Overhead Cable,,2026-01-20,2,15,2,15,450
3,Tricep Overhead Cable,,2026-01-27,2,20,2,15,600
4,Tricep Overhead Cable,,2026-02-03,2,20,2,15,600
5,Tricep Overhead Cable,,2026-02-10,2,20,2,15,600
6,Tricep Overhead Cable,,2026-02-17,2,25,2,15,750
7,Tricep Overhead Cable,,2026-02-24,2,25,2,15,750
8,Tricep Overhead Cable,,2026-03-03,2,25,2,15,750
9,Tricep Overhead Cable,,2026-03-10,2,30,2,15,900
10,Tricep Overhead Cable,,2026-03-17,2,30,2,15,900
11,Tricep Overhead Cable,,2026-03-24,2,30,2,15,900
12,Tricep Overhead Cable,,2026-03-31,2,35,2,15,1050
13,Tricep Overhead Cable,,2026-04-07,2,35,2,15,1050
14,Tricep Overhead Cable,,2026-04-14,2,35,2,15,1050
15,Tricep Overhead Cable,,2026-04-21,2,40,2,15,1200
