,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Up-Right Lateral Raises,Rear and Side Delts (Weight in each hand),2026-01-09,2.0,5.0,2.0,15.0,150.0
1,Up-Right Lateral Raises,,2026-01-16,2.0,5.0,2.0,16.0,160.0
2,Up-Right Lateral Raises,,2026-01-23,2.0,5.0,2.0,17.0,170.0
3,Up-Right Lateral Raises,,2026-01-30,2.0,5.0,2.0,18.0,180.0
4,Up-Right Lateral Raises,,2026-02-06,2.0,5.0,2.0,20.0,200.0
5,Up-Right Lateral Raises,,2026-02-13,2.0,10.0,2.0,10.0,200.0
6,Up-Right Lateral Raises,,2026-02-20,2.0,10.0,2.0,11.0,220.0
7,Up-Right Lateral Raises,,2026-02-27,2.0,10.0,2.0,12.0,240.0
8,Up-Right Lateral Raises,,2026-03-06,2.0,10.0,2.0,13.0,260.0
9,Up-Right Lateral Raises,,2026-03-13,2.0,10.0,2.0,14.0,280.0
10,Up-Right Lateral Raises,,2026-03-20,2.0,10.0,2.0,15.0,300.0
11,Up-Right Lateral Raises,,2026-03-27,2.0,10.0,2.0,16.0,320.0
12,Up-Right Lateral Raises,,2026-04-03,2.0,10.0,2.0,17.0,340.0
13,Up-Right Lateral Raises,,2026-04-10,2.0,10.0,2.0,18.0,360.0
14,Up-Right Lateral Raises,,2026-04-17,2.0,10.0,2.0,19.0,380.0
15,Up-Right Lateral Raises,,2026-04-24,2.0,10.0,2.0,20.0,400.0
