,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Flat Dumbell Flys,,2026-01-09,2.0,5.0,2.0,15.0,150.0
1,Flat Dumbell Flys,,2026-01-16,2.0,5.0,2.0,17.0,170.0
2,Flat Dumbell Flys,,2026-01-23,2.0,5.0,2.0,20.0,200.0
3,Flat Dumbell Flys,,2026-01-30,2.0,10.0,2.0,8.0,160.0
4,Flat Dumbell Flys,,2026-02-06,2.0,10.0,2.0,10.0,200.0
5,Flat Dumbell Flys,,2026-02-13,2.0,10.0,2.0,12.0,240.0
6,Flat Dumbell Flys,,2026-02-20,2.0,10.0,3.0,8.0,240.0
7,Flat Dumbell Flys,,2026-02-27,2.0,10.0,3.0,10.0,300.0
8,Flat Dumbell Flys,,2026-03-06,2.0,10.0,3.0,12.0,360.0
9,Flat Dumbell Flys,,2026-03-13,2.0,10.0,2.0,14.0,280.0
10,Flat Dumbell Flys,,2026-03-20,2.0,10.0,2.0,16.0,320.0
11,Flat Dumbell Flys,,2026-03-27,2.0,10.0,2.0,20.0,400.0
12,Flat Dumbell Flys,,2026-04-03,2.0,10.0,3.0,14.0,420.0
13,Flat Dumbell Flys,,2026-04-10,2.0,10.0,3.0,16.0,480.0
14,Flat Dumbell Flys,,2026-04-17,2.0,10.0,3.0,20.0,600.0
15,Flat Dumbell Flys,,2026-04-24,2.0,10.0,3.0,15.0,450.0
