,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Goblet Squat,Your body should look like a table top at the top range of motion. Completely parallel to the ground and SQUEEZE your bottom at the top for ~ 1 second,2026-01-03,1.0,25.0,2.0,15.0,750.0
1,Goblet Squat,,2026-01-10,1.0,25.0,2.0,17.0,850.0
2,Goblet Squat,,2026-01-17,1.0,25.0,2.0,20.0,1000.0
3,Goblet Squat,,2026-01-24,1.0,35.0,2.0,15.0,1050.0
4,Goblet Squat,,2026-01-31,1.0,35.0,2.0,17.0,1190.0
5,Goblet Squat,,2026-02-07,1.0,35.0,2.0,20.0,1400.0
6,Goblet Squat,,2026-02-14,1.0,35.0,2.0,15.0,1050.0
7,Goblet Squat,,2026-02-21,1.0,35.0,2.0,17.0,1190.0
8,Goblet Squat,,2026-02-28,1.0,35.0,2.0,20.0,1400.0
9,Goblet Squat,,2026-03-07,1.0,45.0,2.0,15.0,1350.0
10,Goblet Squat,,2026-03-14,1.0,45.0,2.0,17.0,1530.0
11,Goblet Squat,,2026-03-21,1.0,45.0,2.0,20.0,1800.0
12,Goblet Squat,,2026-03-28,1.0,45.0,2.0,15.0,1350.0
13,Goblet Squat,,2026-04-04,1.0,45.0,2.0,17.0,1530.0
14,Goblet Squat,,2026-04-11,1.0,45.0,2.0,20.0,1800.0
15,Goblet Squat,,2026-04-18,1.0,45.0,2.0,25.0,2250.0
