,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Inclined Dumbell Press,,2026-01-09,1.0,10.0,2.0,15.0,300.0
1,Inclined Dumbell Press,,2026-01-16,1.0,10.0,3.0,15.0,450.0
2,Inclined Dumbell Press,,2026-01-23,1.0,10.0,4.0,15.0,600.0
3,Inclined Dumbell Press,,2026-01-30,2.0,25.0,2.0,8.0,400.0
4,Inclined Dumbell Press,,2026-02-06,2.0,25.0,3.0,8.0,600.0
5,Inclined Dumbell Press,,2026-02-13,2.0,25.0,4.0,8.0,800.0
6,Inclined Dumbell Press,,2026-02-20,2.0,25.0,2.0,10.0,500.0
7,Inclined Dumbell Press,,2026-02-27,2.0,25.0,3.0,10.0,750.0
8,Inclined Dumbell Press,,2026-03-06,2.0,25.0,4.0,10.0,1000.0
9,Inclined Dumbell Press,,2026-03-13,3.0,25.0,2.0,12.0,600.0
10,Inclined Dumbell Press,,2026-03-20,3.0,25.0,3.0,12.0,900.0
11,Inclined Dumbell Press,,2026-03-27,3.0,25.0,4.0,12.0,1200.0
12,Inclined Dumbell Press,,2026-04-03,3.0,25.0,2.0,15.0,750.0
13,Inclined Dumbell Press,,2026-04-10,3.0,25.0,3.0,15.0,1125.0
14,Inclined Dumbell Press,,2026-04-17,3.0,25.0,4.0,15.0,1500.0
15,Inclined Dumbell Press,,2026-04-24,3.0,35.0,2.0,12.0,840.0
