,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Single Arm Cable Curls,,2026-01-04,2.0,25.0,2.0,10.0,500.0
1,Single Arm Cable Curls,,2026-01-11,2.0,25.0,2.0,12.0,600.0
2,Single Arm Cable Curls,,2026-01-18,2.0,25.0,2.0,13.0,650.0
3,Single Arm Cable Curls,,2026-01-25,2.0,25.0,2.0,15.0,750.0
4,Single Arm Cable Curls,,2026-02-01,2.0,30.0,2.0,10.0,600.0
5,Single Arm Cable Curls,,2026-02-08,2.0,30.0,2.0,12.0,720.0
6,Single Arm Cable Curls,,2026-02-15,2.0,30.0,2.0,13.0,780.0
7,Single Arm Cable Curls,,2026-02-22,2.0,30.0,2.0,15.0,900.0
8,Single Arm Cable Curls,,2026-03-01,2.0,35.0,2.0,10.0,700.0
9,Single Arm Cable Curls,,2026-03-08,2.0,35.0,2.0,12.0,840.0
10,Single Arm Cable Curls,,2026-03-15,2.0,35.0,2.0,13.0,910.0
11,Single Arm Cable Curls,,2026-03-22,2.0,35.0,2.0,15.0,1050.0
12,Single Arm Cable Curls,,2026-03-29,2.0,40.0,2.0,10.0,800.0
13,Single Arm Cable Curls,,2026-04-05,2.0,40.0,2.0,12.0,960.0
14,Single Arm Cable Curls,,2026-04-12,2.0,40.0,2.0,13.0,1040.0
15,Single Arm Cable Curls,,2026-04-19,2.0,40.0,2.0,15.0,1200.0
