,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Standing Barbell OHP,Over-Head Press,2026-01-05,2,45,3,8,1080
1,Standing Barbell OHP,,2026-01-12,2,45,3,10,1350
2,Standing Barbell OHP,,2026-01-19,2,45,3,12,1620
3,Standing Barbell OHP,,2026-01-26,2,45,3,15,2025
4,Standing Barbell OHP,,2026-02-02,2,55,3,8,1320
5,Standing Barbell OHP,,2026-02-09,2,55,3,10,1650
6,Standing Barbell OHP,,2026-02-16,2,55,3,12,1980
7,Standing Barbell OHP,,2026-02-23,2,55,3,15,2475
8,Standing Barbell OHP,,2026-03-02,2,65,3,8,1560
9,Standing Barbell OHP,,2026-03-09,2,65,3,10,1950
10,Standing Barbell OHP,,2026-03-16,2,65,3,12,2340
11,Standing Barbell OHP,,2026-03-23,2,65,3,15,2925
12,Standing Barbell OHP,,2026-03-30,2,75,3,8,1800
13,Standing Barbell OHP,,2026-04-06,2,75,3,10,2250
14,Standing Barbell OHP,,2026-04-13,2,75,3,12,2700
15,Standing Barbell OHP,,2026-04-20,2,75,3,15,3375
