,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Table Top Rows (1 armed),"Grab the weight in one hand, rest the same side knee on the bench, and grab the bench with the opposite hand. Lean over such that your back is completely paralle to the floor. As if you were pushing the weight through the floor, let the weighted arm full stretch out, then controll the pull upwards such that the back of your arm makes a parallel with the floor.",2026-01-04,1,25,2,10,500
1,Table Top Rows (1 armed),,2026-01-11,1,25,2,11,550
2,Table Top Rows (1 armed),,2026-01-18,1,25,2,12,600
3,Table Top Rows (1 armed),,2026-01-25,1,25,2,13,650
4,Table Top Rows (1 armed),,2026-02-01,1,25,2,14,700
5,Table Top Rows (1 armed),,2026-02-08,1,25,2,15,750
6,Table Top Rows (1 armed),,2026-02-15,1,35,2,10,700
7,Table Top Rows (1 armed),,2026-02-22,1,35,2,11,770
8,Table Top Rows (1 armed),,2026-03-01,1,35,2,12,840
9,Table Top Rows (1 armed),,2026-03-08,1,35,2,13,910
10,Table Top Rows (1 armed),,2026-03-15,1,35,2,14,980
11,Table Top Rows (1 armed),,2026-03-22,1,35,2,15,1050
12,Table Top Rows (1 armed),,2026-03-29,1,45,2,10,900
13,Table Top Rows (1 armed),,2026-04-05,1,45,2,11,990
14,Table Top Rows (1 armed),,2026-04-12,1,45,2,12,1080
15,Table Top Rows (1 armed),,2026-04-19,1,45,2,13,1170
