,Excercise Name,Excercise Description,Date,Rest between Sets (Minutes),Weight (lbs),Sets (Count),Reps (Count),Volume (lbs)
0,Tricep Cable Pushdowns,"Double Donkey Dick, Pulldown to frame hips",2026-01-06,2.0,15.0,2.0,15.0,450.0
1,Tricep Cable Pushdowns,Pulley Up top,2026-01-13,2.0,15.0,2.0,15.0,450.0
2,Tricep Cable Pushdowns,,2026-01-20,2.0,15.0,2.0,15.0,450.0
3,Tricep Cable Pushdowns,,2026-01-27,2.0,20.0,2.0,15.0,600.0
4,Tricep Cable Pushdowns,,2026-02-03,2.0,20.0,2.0,15.0,600.0
5,Tricep Cable Pushdowns,,2026-02-10,2.0,20.0,2.0,15.0,600.0
6,Tricep Cable Pushdowns,,2026-02-17,2.0,25.0,2.0,15.0,750.0
7,Tricep Cable Pushdowns,,2026-02-24,2.0,25.0,2.0,15.0,750.0
8,Tricep Cable Pushdowns,,2026-03-03,2.0,25.0,2.0,15.0,750.0
9,Tricep Cable Pushdowns,,2026-03-10,2.0,30.0,2.0,15.0,900.0
10,Tricep Cable Pushdowns,,2026-03-17,2.0,30.0,2.0,15.0,900.0
11,Tricep Cable Pushdowns,,2026-03-24,2.0,30.0,2.0,15.0,900.0
12,Tricep Cable Pushdowns,,2026-03-31,2.0,35.0,2.0,15.0,1050.0
13,Tricep Cable Pushdowns,,2026-04-07,2.0,35.0,2.0,15.0,1050.0
14,Tricep Cable Pushdowns,,2026-04-14,2.0,35.0,2.0,15.0,1050.0
15,Tricep Cable Pushdowns,,2026-04-21,2.0,40.0,2.0,15.0,1200.0
